segundo,wl04,wl05,wl06
578,13.108,22.399,18.996
579,13.098,22.326,19.374
580,13.09,22.333,18.792
581,13.108,22.372,19.51
582,13.253,22.147,18.972
583,13.198,22.306,19.637
584,13.179,22.465,19.451
585,13.197,22.24,19.249
586,13.097,22.509,18.82
587,13.098,22.289,18.232
588,13.215,22.673,18.848
589,13.12,22.307,19.148
590,13.201,22.416,18.904
591,13.068,22.168,19.102
592,13.167,22.276,19.456
593,13.226,22.366,19.157
594,13.259,22.269,19.125
595,13.191,22.454,19.035
596,13.248,22.291,19.325
597,13.277,22.286,19.158
598,13.187,22.517,18.992
599,13.263,22.286,19.332
600,13.219,22.425,19.33
601,13.274,22.215,19.363
602,13.209,21.973,19.208
603,13.27,22.706,19.234
604,13.234,22.527,19.383
605,13.223,22.413,19.161
606,13.169,22.778,19.25
607,13.265,22.273,18.872
608,13.237,22.274,19.207
609,13.238,22.432,19.373
610,13.097,22.319,19.364
611,13.221,22.153,18.956
612,13.069,22.537,19.177
613,13.216,22.288,19.086
614,13.113,22.336,19.294
615,13.216,22.415,19.426
616,13.148,22.432,18.931
617,13.06,22.419,19.203
618,13.142,22.392,19.46
619,13.152,22.363,18.983
620,13.165,22.455,19.297
621,13.089,22.582,19.343
622,13.188,22.422,19.412
623,13.179,22.352,19.392
624,13.226,22.415,19.256
625,13.154,22.554,19.372
626,13.107,22.328,19.627
627,13.274,22.431,19.362
628,13.124,22.727,19.297
629,13.154,22.537,19.676
630,13.109,22.491,19.381
631,13.156,22.538,19.625
632,13.128,22.299,19.659
633,13.205,22.41,19.699
634,13.094,22.578,19.245
635,13.244,22.422,19.213
636,13.133,22.387,19.201
637,13.166,22.309,19.161
638,13.036,22.595,19.244
639,13.128,22.419,19.119
640,13.092,22.298,19.418
641,13.14,22.367,19.165
642,13.069,22.368,19.212
643,13.179,22.33,19.415
644,13.129,22.515,18.878
645,13.174,22.396,19.289
646,13.246,22.125,19.091
647,13.257,22.273,19.536
648,13.217,22.089,19.196
649,13.214,22.373,19.359
650,13.255,22.52,19.379
651,13.224,22.308,18.856
652,13.294,22.4,19.246
653,13.286,22.593,19.011
654,13.216,22.317,19.086
655,13.241,22.317,18.934
656,13.211,22.453,19.138
657,13.233,22.423,19.028
658,13.245,22.611,19.019
659,13.27,22.264,18.955
660,13.279,22.735,19.18
661,13.221,22.455,19.143
662,13.21,22.288,19.281
663,13.249,22.451,19.284
664,13.214,22.348,18.687
665,13.042,22.468,19.089
666,13.249,22.501,19.061
667,13.152,22.25,19.349
668,13.131,22.301,19.084
669,13.197,22.43,18.996
670,13.192,22.427,19.127
671,13.167,22.434,18.608
672,13.193,22.173,19.186
673,13.129,22.274,18.86
674,13.097,22.413,19.116
675,13.189,22.557,18.924
676,13.21,22.239,18.627
677,13.095,22.089,18.678
678,13.174,22.451,18.353
679,13.071,22.475,19.448
680,13.179,22.37,20.162
681,13.229,22.133,18.89
682,13.096,22.431,17.449
683,13.253,22.541,21.937
684,13.141,22.32,21.01
685,13.126,22.311,21.754
686,13.116,22.54,22.776
687,13.175,22.299,19.684
688,13.055,22.297,19.143
689,13.131,22.324,19.205
690,13.102,22.393,19.175
691,13.23,22.257,19.224
692,13.15,22.325,19.608
693,13.19,22.73,19.115
694,13.178,22.456,18.903
695,13.202,22.462,18.911
696,13.126,22.364,19.103
697,13.129,22.539,19.293
698,13.127,22.361,18.896
699,13.25,22.421,19.378
700,13.205,22.354,18.778
701,13.354,22.412,19.071
702,13.269,22.506,18.897
703,13.323,22.134,19.363
704,13.277,22.447,19.186
705,13.28,22.625,19.156
706,13.273,22.388,18.982
707,13.318,22.311,19.553
708,13.293,22.484,19.77
709,13.197,22.273,19.172
710,13.295,22.207,19.331
711,13.234,22.296,18.983
712,13.254,22.26,19.391
713,13.235,22.521,18.968
714,13.166,22.445,19.346
715,13.147,22.652,19.132
716,13.145,22.307,19.233
717,13.085,22.58,19.504
718,13.126,22.33,19.328
719,13.11,22.579,19.253
720,13.203,22.303,19.071
721,13.132,22.326,19.373
722,13.217,22.477,19.063
723,13.102,22.53,19.366
724,13.21,22.353,19.232
725,13.172,22.073,19.264
726,13.213,22.592,18.621
727,13.182,22.373,18.918
728,13.203,22.455,18.785
729,13.177,22.466,18.937
730,13.044,22.377,19.185
731,13.217,22.425,19.21
732,13.246,22.386,19.326
733,13.14,22.585,18.987
734,13.191,22.586,19.157
735,13.23,22.414,19.073
736,13.175,22.284,19.039
737,13.187,22.503,19.1
738,13.073,22.494,18.698
739,13.193,21.862,19.429
740,13.119,21.424,18.915
741,13.172,21.898,19.188
742,13.233,22.338,18.844
743,13.143,22.143,19.213
744,13.125,22.428,19.104
745,13.162,22.506,19.206
746,13.086,22.359,19.033
747,13.113,22.375,18.926
748,13.138,22.309,19.285
749,13.208,22.765,19.382
750,13.278,22.574,19.073
751,13.263,22.318,19.093
752,13.238,22.413,18.987
753,13.232,22.261,19.513
754,13.214,22.256,19.33
755,13.264,22.372,19.176
756,13.198,22.323,19.441
757,13.332,22.437,19.508
758,13.252,22.526,19.305
759,13.219,22.363,19.665
760,13.308,22.34,19.463
761,13.208,22.566,19.057
762,13.231,22.387,18.916
763,13.227,22.226,19.249
764,13.248,22.476,19.17
765,13.173,22.553,18.614
766,13.291,22.256,18.962
767,13.177,22.383,18.933
768,13.162,22.268,18.559
769,13.125,22.383,19.282
770,13.244,22.289,19.194
771,13.161,22.553,19.385
772,13.263,22.429,19.001
773,13.162,22.257,19.35
774,13.184,22.584,18.952
775,13.282,22.261,19.022
776,13.193,22.38,19.272
777,13.126,22.449,18.947
778,13.189,22.366,18.787
779,13.232,22.316,19.046
780,13.175,22.335,19.003
781,13.014,22.33,18.958
782,13.17,22.364,19.122
783,13.109,22.49,19.213
784,13.206,22.294,19.128
785,13.231,22.355,19.04
786,13.07,22.337,19.412
787,13.283,22.562,18.872
788,13.15,22.376,19.223
789,13.121,22.445,18.767
790,13.127,22.342,19.269
791,13.189,22.448,18.775
792,13.182,22.36,19.208
793,13.164,22.499,18.857
794,13.127,22.208,19.016
795,13.139,22.467,19.134
796,13.135,22.386,19.007
797,13.044,22.482,19.181
798,13.156,22.27,18.66
799,13.065,22.306,18.6
800,13.23,22.385,19.094
801,13.2,22.3,18.757
802,13.246,22.43,18.84
803,13.19,22.369,17.977
804,13.207,22.391,18.764
805,13.236,22.312,19.004
806,13.158,22.378,18.711
807,13.268,22.602,20.571
808,13.225,22.225,19.43
809,13.259,22.244,17.43
810,13.23,22.3,17.392
811,13.23,22.222,17.809
812,13.257,22.365,18.998
813,13.223,22.323,20.52
814,13.179,22.111,20.292
815,13.233,22.358,21.643
816,13.236,22.447,20.595
817,13.258,22.27,20.138
818,13.192,22.144,18.619
819,13.277,22.423,19.395
820,13.022,22.443,18.968
821,13.222,22.119,19.221
822,13.115,22.465,19.248
823,13.231,22.037,19.301
824,13.256,22.245,19.048
825,13.122,22.485,19.389
826,13.12,22.435,19.459
827,13.108,22.516,18.908
828,13.023,22.579,19.078
829,13.077,22.708,19.42
